"year","month","births"
1950,1,95836
1950,2,91475
1950,3,103103
1950,4,95636
1950,5,97978
1950,6,92361
1950,7,91701
1950,8,89460
1950,9,91705
1950,10,91255
1950,11,87384
1950,12,88807
1951,1,93916
1951,2,89088
1951,3,99533
1951,4,94289
1951,5,99089
1951,6,92613
1951,7,93527
1951,8,90810
1951,9,90677
1951,10,89423
1951,11,84192
1951,12,89223
1952,1,95232
1952,2,93474
1952,3,101322
1952,4,95431
1952,5,96594
1952,6,89821
1952,7,92180
1952,8,88824
1952,9,92100
1952,10,87040
1952,11,85815
1952,12,87251
1953,1,94640
1953,2,88927
1953,3,100694
1953,4,94892
1953,5,97428
1953,6,91188
1953,7,92242
1953,8,88555
1953,9,91845
1953,10,85998
1953,11,80389
1953,12,88231
1954,1,95296
1954,2,90682
1954,3,98361
1954,4,95409
1954,5,100544
1954,6,92886
1954,7,93667
1954,8,90844
1954,9,91647
1954,10,86213
1954,11,85466
1954,12,88728
1955,1,94799
1955,2,90607
1955,3,101895
1955,4,95352
1955,5,97705
1955,6,93139
1955,7,92644
1955,8,90936
1955,9,91922
1955,10,89268
1955,11,85835
1955,12,89306
1956,1,94930
1956,2,96001
1956,3,104822
1956,4,96901
1956,5,100345
1956,6,91542
1956,7,95322
1956,8,92478
1956,9,93812
1956,10,90035
1956,11,89071
1956,12,91910
1957,1,97330
1957,2,94617
1957,3,104474
1957,4,100865
1957,5,102047
1957,6,97430
1957,7,96182
1957,8,93999
1957,9,97858
1957,10,95119
1957,11,90239
1957,12,95395
1958,1,101308
1958,2,95355
1958,3,109078
1958,4,98831
1958,5,102916
1958,6,91715
1958,7,91022
1958,8,93313
1958,9,102233
1958,10,96375
1958,11,94021
1958,12,99703
1959,1,105251
1959,2,101741
1959,3,112812
1959,4,108532
1959,5,109184
1959,6,102577
1959,7,104006
1959,8,100567
1959,9,103486
1959,10,99896
1959,11,95504
1959,12,100366
1960,1,105142
1960,2,106106
1960,3,113434
1960,4,107347
1960,5,110045
1960,6,104757
1960,7,107021
1960,8,105874
1960,9,106830
1960,10,98331
1960,11,95708
1960,12,101019
1961,1,111619
1961,2,106216
1961,3,119647
1961,4,112384
1961,5,114476
1961,6,106854
1961,7,108082
1961,8,107818
1961,9,108436
1961,10,106801
1961,11,103552
1961,12,107620
1962,1,111765
1962,2,105637
1962,3,118290
1962,4,111746
1962,5,115420
1962,6,108452
1962,7,109548
1962,8,109718
1962,9,109730
1962,10,106119
1962,11,103036
1962,12,107073
1963,1,116863
1963,2,108193
1963,3,124628
1963,4,117117
1963,5,120150
1963,6,110482
1963,7,114882
1963,8,110565
1963,9,113374
1963,10,108421
1963,11,103907
1963,12,107013
1964,1,117584
1964,2,114709
1964,3,122938
1964,4,119167
1964,5,118245
1964,6,112094
1964,7,114829
1964,8,108873
1964,9,112666
1964,10,105754
1964,11,101493
1964,12,108952
1965,1,112775
1965,2,109728
1965,3,121381
1965,4,115140
1965,5,116345
1965,6,109750
1965,7,111468
1965,8,109317
1965,9,109808
1965,10,102357
1965,11,103110
1965,12,104207
1966,1,112812
1966,2,106294
1966,3,120702
1966,4,114532
1966,5,117079
1966,6,111028
1966,7,111393
1966,8,109237
1966,9,108224
1966,10,104262
1966,11,100500
1966,12,102240
1967,1,108613
1967,2,105623
1967,3,115846
1967,4,109818
1967,5,113695
1967,6,106029
1967,7,106974
1967,8,104019
1967,9,104377
1967,10,101449
1967,11,96420
