Jahr,h,m,s
1972,03,22,00
1973,03,02,05
1974,02,17,00
1975,02,32,04
1976,02,06,41
1977,02,06,22
1978,02,07,05
1979,02,08,17
1980,02,07,28
1981,02,21,16
1982,02,05,02
1983,02,19,07
1984,02,22,18
1985,02,06,55
1986,02,17,21
1987,02,12,21
1988,02,06,56
1989,02,02,12
1990,02,10,37
1991,02,08,09
1992,01,59,27
1993,02,03,55
1994,02,00,24
1995,02,09,29
1996,02,07,52
1997,02,10,19
1998,02,07,46
1999,02,08,30
2000,02,07,22
2001,02,05,27
2002,02,06,35
2003,02,05,59
2004,02,05,26
2005,02,04,47
2006,02,13,52
2007,02,06,13
2008,02,05,44
2009,02,07,26
2010,02,18,15
2011,02,01,03
2012,01,59,42
2013,01,58,57
2014,02,08,49
2015,02,07,02
2016,02,05,47
2017,02,06,41
2018,02,05,11
2019,02,02,41
2020,NA,NA,NA
2021,02,00,10
2022,02,01,57
2023,02,06,44
